Meat and livestock monthly U.S. trade,,,,,,,,,,,,,,,
"Import/export, country code and name 1/ 2/",,,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
,5650,Philippines,613,845,164,586,122,553,37,536,136,957,345,669,
,5200,United Arab Emirates,396,351,108,187,390,237,310,249,124,145,238,679,492
,4120,United Kingdom,"1,509",939,433,14,43,43,49,44,49,55,51,42,200
,2360,Bahamas,154,200,253,372,262,298,292,323,157,255,168,252,170
,3120,Guyana,226,259,211,180,221,193,196,204,256,220,257,258,291
,4280,"Germany, Fed. Republic",98,122,180,407,315,31,148,40,198,174,256,293,494
,4099,Denmark,,,,,,339,,521,156,483,2,783,314
,2230,Costa Rica,161,163,341,178,271,66,168,148,217,103,237,107,238
,2720,Barbados,108,111,142,131,112,154,124,131,115,127,102,122,145
,2779,Aruba,114,102,100,145,142,119,151,121,80,80,121,73,79
,6021,Australia,4,9,0,,,,3,90,352,152,464,38,303
,5700,China (Mainland),50,46,14,2,168,191,86,278,215,140,56,73,69
,,Other countries,"1,342","1,838","1,505","1,418","1,506","1,338","1,600","1,274","1,315","1,582","1,494","1,697","1,724"
,,"Total
 ","27,618","30,491","26,414","26,090","22,987","19,303","26,535","28,890","28,992","27,603","26,714","29,269","28,357"
"Shell egg exports
(1,000 dozen)",1220,Canada,"5,932","7,564","6,454","7,369","3,805","2,033","6,617","7,808","5,028","3,428","2,630","4,985","5,242"
,2010,Mexico,"4,346","4,743","4,420","3,889","4,447","3,944","4,076","4,774","6,417","4,962","6,188","6,002","6,829"
,5820,Hong Kong,"4,249","5,520","3,017","3,108","2,977","2,617","4,459","3,816","5,329","5,749","5,024","4,470","3,529"
,2410,Jamaica,631,679,593,584,614,623,699,609,727,583,503,716,681
,2740,Trinidad and Tobago,376,378,419,338,403,373,416,379,445,412,385,549,378
,5200,United Arab Emirates,357,298,108,81,352,196,242,135,81,27,214,531,444
,3120,Guyana,226,259,211,180,221,193,196,204,256,220,257,258,291
,2360,Bahamas,102,130,197,320,204,211,210,206,131,178,76,152,137
,5830,China (Taiwan),106,106,53,79,106,217,207,80,93,132,106,191,115
,2720,Barbados,87,109,87,127,94,119,120,120,115,109,99,104,106
,2450,Haiti,26,175,37,151,77,185,123,59,81,110,78,37,152
,2779,Aruba,107,84,83,128,122,101,130,112,61,61,96,58,71
,2470,Dominican Republic,163,276,66,6,5,7,28,84,51,23,8,136,116
